ID,source,type,copyright,
52,The Institute of Welsh Affairs,reference,https://www.iwa.wales/terms-and-conditions/,
53,The Scottish Goverment,data source/reference,https://www.gov.scot/crown-copyright/,
54,"The States of Guernsey Website, https://www.gov.gg/article/119613/GOVGG  ",reference,"""Copyright protected material may be reproduced free of charge in any format or medium for research, private study or for internal circulation within an organisation. This is subject to the material being reproduced accurately and not being used in a misleading context.”, https://www.gov.gg/TsCs",
55,"The World Factbook. 2021. Washington, DC: Central Intelligence Agency, https://www.cia.gov/ ",data source/reference,Public domain,
56,"Translators without borders, https://translatorswithoutborders.org/  ",data source/reference,CC BY-NC-SA 3.0 US,
57,"Uganda Bureau of Statistics, https://www.ubos.org
",data source,"Copyright: “The contents from www.ubos.org may freely be reproduced, provided that Uganda Bureau of Statistics is cited as source. The source referenced must include the link to point in question on ubos.org where the figures can be viewed in their full context by the user.”
",
58,"UK Parliament, Identity and Language (Northern Ireland) Act 2022 (c. 45), https://bills.parliament.uk/bills/3168/publications",reference,Open Government Licence v3.0 except where otherwise stated,
59,UNESCO Institute for Statistics (UIS),data source,https://uis.unesco.org/en/terms-and-conditions    ,
60,UNESCO Institute for Statistics (UIS),data source,The work of the UIS is licensed under the Creative Commons Attribution-ShareAlike 4.0 International license,
61,"United Nations Development Programme, Human Development Reports, https://hdr.undp.org/ 
",data source,Creative Commons Attribution 3.0 IGO license,
62,"United Nations Population Fund (UNFPA), World Population Dashboard,  https://www.unfpa.org/data/world-population-dashboard",,"“Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNFPA as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes require explicit, prior authorization in writing using our contact form.”, https://www.unfpa.org/terms-use.",
63,"United Nations Statistics Division, Demographic Statistics Database, http://data.un.org/Default.aspx ",data source/reference,"“All data and metadata provided on UNdata’s website are available free of charge and may be copied freely, duplicated and further distributed provided that UNdata is cited as the reference”, http://data.un.org/Host.aspx?Content=UNdataUse ",
64,"United Nations, Department of Economic and Social Affairs, Population Division. 2018. World Urbanization Prospects: The 2018 Revision, Online Edition. https://population.un.org/wup/",data source,"Creative Commons license CC BY 3.0 IGO, http://creativecommons.org/licenses/by/3.0/igo/",
65,"United States Census Bureau, https://data.census.gov/ ",data source,"No copyright statement but detailed instructions on how to download, use, and share the materials, https://www.census.gov/data/what-is-data-census-gov/guidance-for-data-users/how-to-materials-for-using-data-census-gov.html, as well as information on how to cite the materials, https://www.census.gov/about/policies/citation.html; see also use of API https://www.census.gov/data/developers/about/terms-of-service.html ",
66,"Vanuatu National Statistics Office, https://vnso.gov.vu/  ",reference,"No copyright statement but encouragement to explore and use data, https://vnso.gov.vu/index.php/about-us ",
67,"Welsh Government services and information, Statistics and research, https://www.gov.wales/statistics-and-research ",reference,"Open Government Licence for public sector information,  https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/",
68,"Welsh Government, https://www.gov.wales/ ",data source/reference,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
69,"Wikimedia Commons, English version, https://commons.wikimedia.org/wiki/File:Queensland_Local_Government_Areas.png ",reference,"“Permission is granted to copy, distribute and/or modify this document under the terms of the GNU Free Documentation License, Version 1.2 or any later version published by the Free Software Foundation; with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts. A copy of the license is included in the section entitled GNU Free Documentation License.”;  Creative Commons Attribution-Share Alike 3.0 Unported license",
70,"Wikipedia The Free Encyclopedia, English version, https://www.wikipedia.org/ ",data source,Creative Commons Attribution-ShareAlike License,
71,"Wolfram, Walt. 2004. The grammar of rural and ethnic varieties in the Southeast. In: Schneider, Edgar W., Kate Burridge, Bernd Kortmann, Rajend Mesthrie, and Clive Upton. A handbook of varieties of English: A multimedia reference tool two volumes plus CD-ROM, 74–94. Berlin: De Gruyter Mouton. ",reference,,
72,"World Bank, World Bank Open Data, https://data.worldbank.org/ ",data source,CC BY-4.0 and https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets ,
73,"Youssef, Valerie, and Winford James. 1999. Grounding via Tense–Aspect in Tobagonian Creole: Discourse Strategies Across a Creole Continuum. Linguistics 37(4): 597–624
",reference,,
